ContactID,TimeStamp,CallDuration,CompletionCode,PacingType,ChannelType,AttemptedField,AttemptType
ContactID-1,16/01/24 17:09,600,Promise to Pay,Preview,Voice,Phone 1,Regular
ContactID-1,17/01/24 12:36,300,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-1,20/01/24 15:09,600,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-1,02/03/24 9:39,60,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-1,12/03/24 10:16,180,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-1,13/03/24 17:09,420,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-1,07/04/24 13:29,540,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-1,07/04/24 17:06,300,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-1,13/04/24 13:39,540,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-1,16/04/24 13:16,300,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-1,11/05/24 13:39,540,Payment Done,Preview,Voice,Phone 1,High Priority
ContactID-1,16/05/24 13:16,300,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-2,05/01/24 15:08,420,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-2,13/02/24 10:28,360,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-2,13/02/24 13:30,0,Ring No Answer,Preview,Voice,Phone 1,High Priority
ContactID-2,15/02/24 9:57,60,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-2,17/02/24 10:39,240,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-2,04/03/24 14:29,540,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-2,16/03/24 16:27,60,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-2,10/04/24 16:59,60,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-2,12/04/24 16:55,600,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-2,13/04/24 9:19,180,Promise to Pay,Preview,Voice,Phone 1,Regular
ContactID-2,10/05/24 16:59,60,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-2,12/05/24 16:55,600,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-2,13/05/24 9:19,180,Payment Done,Preview,Voice,Phone 1,Regular
ContactID-3,19/01/24 15:28,360,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-3,02/02/24 12:50,120,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-3,05/02/24 13:57,180,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-3,04/03/24 17:59,0,Ring No Answer,Preview,Voice,Phone 1,High Priority
ContactID-3,06/03/24 13:49,600,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-3,07/03/24 11:03,600,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-3,15/03/24 16:57,0,Ring No Answer,Preview,Voice,Phone 1,High Priority
ContactID-3,08/04/24 13:39,420,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-3,13/04/24 9:29,420,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-3,14/04/24 15:18,600,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-3,08/05/24 13:39,420,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-3,13/05/24 9:29,420,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-3,14/05/24 15:18,0,Ring No Answer,Preview,Voice,Phone 1,High Priority
ContactID-4,06/01/24 16:40,300,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-4,12/01/24 12:54,0,Ring No Answer,Preview,Voice,Phone 1,Regular
ContactID-4,20/01/24 14:55,480,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-4,09/02/24 14:19,480,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-4,10/02/24 17:54,0,Ring No Answer,Preview,Voice,Phone 1,Regular
ContactID-4,18/02/24 16:06,600,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-4,07/03/24 12:29,360,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-4,09/03/24 15:49,600,Call Answered,Preview,Voice,Phone 1,Regular
